Position,Institution,Country/territory,Count,Share
102,"Shanghai University (SHU)",China,453,170.5977487973
103,"Yangzhou University (YZU)",China,412,170.03862519883
104,"The University of Texas Southwestern Medical Center (UT Southwestern Medical Center)","United States of America (USA)",499,169.81953750016
105,"Qingdao University of Science and Technology (QUST)",China,272,169.81381096821
106,"China University of Geosciences (CUG)",China,529,169.24819723152
107,"Ludwig Maximilians University of Munich (LMU)",Germany,851,169.22479593685
108,"Westlake University",China,443,169.01375638396
109,"The Ohio State University (OSU)","United States of America (USA)",851,168.53459766742
110,"The University of British Columbia (UBC)",Canada,703,166.93629831094
111,"Tohoku University",Japan,690,165.78713846415
112,"Emory University","United States of America (USA)",636,165.37369443136
113,"Russian Academy of Sciences (RAS)",Russia,503,165.0744039766
114,"The University of Osaka (UOsaka)",Japan,539,165.06776222555
115,"The University of North Carolina at Chapel Hill (UNC)","United States of America (USA)",780,163.40710615842
116,"Nanchang University (NCU)",China,382,161.96808871514
117,"Weizmann Institute of Science (WIS)",Israel,424,161.31140653393
118,"Monash University",Australia,806,160.77352523082
119,"University of California, Irvine (UCI)","United States of America (USA)",555,160.59668167764
120,"The University of Edinburgh","United Kingdom (UK)",825,160.25072807586
121,"The Chinese University of Hong Kong (CUHK)",China,781,160.0733318474
122,"University of California, Santa Barbara (UCSB)","United States of America (USA)",544,158.54384957939
123,"Nanjing University of Science and Technology (NUST)",China,329,157.90403690183
124,RIKEN,Japan,687,156.90111006242
125,"The University of Manchester (UoM)","United Kingdom (UK)",758,156.83273879285
126,"ShanghaiTech University",China,503,155.92276640909
127,"University of Science and Technology Beijing (USTB)",China,359,155.23390124669
128,"Texas A&M University (TAMU)","United States of America (USA)",641,154.31960200049
129,"Purdue University","United States of America (USA)",425,153.91437208574
130,"University of Florida (UF)","United States of America (USA)",799,153.67324616943
131,"Qingdao University (QU)",China,310,153.61276262156
132,"University of California, Davis (UC Davis)","United States of America (USA)",614,153.26634431649
133,"The Hong Kong Polytechnic University (PolyU)",China,654,152.99084378972
134,"The University of Queensland (UQ)",Australia,637,152.14459224192
135,"Vanderbilt University (VU)","United States of America (USA)",722,152.09460508196
136,"Henan University (HENU)",China,493,150.34904364994
137,"Karolinska Institute (KI)",Sweden,757,150.10911016329
138,"University of Zurich (UZH)",Switzerland,748,149.65888472542
139,"Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC)",China,869,148.30480416036
140,"Southwest University (SWU)",China,277,147.98890028402
141,"Indiana University (IU)","United States of America (USA)",735,142.97120803998
142,"Anhui University (AHU)",China,369,142.41868642526
143,"Northeast Normal University (NENU)",China,247,142.32309520407
144,"Heidelberg University (Uni Heidelberg)",Germany,758,142.11862600031
145,"The University of Melbourne (UniMelb)",Australia,838,141.09433461324
146,"Yonsei University","South Korea",566,140.68505466958
147,"Institute of Science Tokyo (Science Tokyo)",Japan,458,140.6169955834
148,"Aarhus University (AU)",Denmark,486,139.67609737843
149,"King Abdullah University of Science and Technology (KAUST)","Saudi Arabia",333,138.85274616229
150,"Guangdong University of Technology (GDUT)",China,381,137.72568149175
151,"Memorial Sloan Kettering Cancer Center (MSKCC)","United States of America (USA)",545,137.15387839662
152,"Utrecht University (UU)",Netherlands,726,136.95721901359
153,"South China Normal University (SCNU)",China,521,136.32093761484
154,"Catholic University of Leuven (KU Leuven)",Belgium,555,135.45920151967
155,"Mount Sinai Health System (MSHS)","United States of America (USA)",663,135.42855016275
156,"Sungkyunkwan University (SKKU)","South Korea",564,132.37052797264
157,"Mayo Clinic","United States of America (USA)",509,132.28340875869
158,"University of New South Wales (UNSW Sydney)",Australia,612,131.77694614305
159,"University of Maryland, College Park (UMCP)","United States of America (USA)",771,130.43631643761
160,"University of Geneva (UNIGE)",Switzerland,510,130.42481402377
161,"Jiangnan University",China,282,129.7478086508
162,"The University of Utah (Utah)","United States of America (USA)",478,129.22159097436
163,"Hebrew University of Jerusalem (HUJI)",Israel,345,128.33227062296
164,"Wuhan University of Technology (WUT)",China,292,128.18183608415
165,"Uppsala University (UU)",Sweden,719,128.08442637107
166,"Jiangsu University (JSU)",China,257,127.5720279923
167,"Shaanxi Normal University (SNNU)",China,201,127.14953008752
168,"Tianjin University of Technology (TJUT)",China,345,126.37904649862
169,"Zhejiang University of Technology (ZJUT)",China,285,125.73108266364
170,"Boston University (BU)","United States of America (USA)",768,124.65909066864
171,"Ocean University of China (OUC)",China,435,123.91343785662
172,"Nagoya University",Japan,460,123.86408580223
173,"Hokkaido University",Japan,359,123.69651508015
174,"Rutgers, The State University of New Jersey (RU)","United States of America (USA)",652,123.18999953784
175,"Rice University","United States of America (USA)",473,123.01905186669
176,"University of Groningen (RUG)",Netherlands,566,122.56246552165
177,"Indian Institute of Science (IISc)",India,243,122.32060189536
178,"National Institute for Health and Medical Research (INSERM)",France,1518,122.32015971382
179,"Pohang University of Science and Technology (POSTECH)","South Korea",367,121.85598823796
180,"Georgia Institute of Technology (Georgia Tech)","United States of America (USA)",427,119.85484055357
181,"Yunnan University (YNU)",China,383,117.04256210433
182,"Guangxi University (GXU)",China,327,116.57157096718
183,"National Institute for Materials Science (NIMS)",Japan,507,116.47279088847
184,"The University of Arizona (Arizona)","United States of America (USA)",612,115.70471913421
185,"University of Amsterdam (UvA)",Netherlands,863,115.08116489007
186,"University of Münster (WWU)",Germany,431,114.7243182086
187,"University of Würzburg (JMU)",Germany,443,114.59290151006
188,"The University of Sydney (USYD)",Australia,664,114.43961481176
189,"Baylor College of Medicine (BCM)","United States of America (USA)",462,114.38517637972
190,"Southern Medical University (SMU)",China,360,113.66278028585
191,"China Meteorological Administration (CMA)",China,375,113.61294873506
192,"University of Basel (UB)",Switzerland,458,112.71671102475
193,"University of Alberta (U of A)",Canada,441,111.77103960981
194,"Free University of Berlin (FU Berlin)",Germany,811,111.18273356174
195,"Nanjing Normal University (NNU)",China,464,110.70035020145
196,"National Taiwan University (NTU)",Taiwan,430,110.44714696259
197,"Korea University","South Korea",480,110.14835060338
198,"Northeastern University (NEU)",China,210,109.76377212644
199,"Tel Aviv University (TAU)",Israel,439,109.59960873779
200,"University of Bristol (UoB)","United Kingdom (UK)",527,108.98740923366
201,"Sorbonne University",France,1233,108.3214755781
202,"University of Paris-Saclay",France,996,108.11580301713
203,"King's College London (KCL)","United Kingdom (UK)",616,107.81877438063
204,"Johannes Gutenberg University Mainz (JGU)",Germany,548,107.81851455306
205,"Leiden University",Netherlands,513,106.5017042671
206,"University of Freiburg (Uni Freiburg)",Germany,440,106.12026237745
207,"China Agricultural University (CAU)",China,282,106.01274135853
208,"TU Dresden",Germany,595,105.81707345381
209,"National Aeronautics and Space Administration (NASA)","United States of America (USA)",608,105.79554173858
210,"Brown University","United States of America (USA)",440,105.36737141871
211,"Czech Academy of Sciences (CAS)","Czech Republic",478,104.87287116301
212,"RWTH Aachen University (RWTH Aachen)",Germany,533,104.80116024843
213,"Argonne National Laboratory (ANL)","United States of America (USA)",518,103.66758143178
214,"Guizhou University (GZU)",China,267,103.60132905782
215,"Scientific Institute for Research, Hospitalization and Healthcare (IRCCS)",Italy,705,103.29985540679
216,"Michigan State University (MSU)","United States of America (USA)",591,102.55521936048
217,"University of Erlangen-Nuremberg (FAU)",Germany,383,102.49965978457
218,"Chinese Academy of Agricultural Sciences (CAAS)",China,424,102.13287446562
219,"Shandong Normal University (SDNU)",China,225,101.88897277005
220,"China Pharmaceutical University (CPU)",China,188,101.15526690572
221,"University of Hamburg (UHH)",Germany,634,100.79687821461
222,"Lund University (LU)",Sweden,523,100.09729382403
223,"Nanjing University of Posts and Telecommunications (NUPT)",China,274,99.865872281729
224,"University of Bonn (Uni Bonn)",Germany,520,99.749177854393
225,"Northwest University (NWU)",China,266,99.619581576862
226,"Kyushu University",Japan,401,99.552834875438
227,"Agency for Science, Technology and Research (A*STAR)",Singapore,468,99.445478454683
228,"Ghent University (UGent)",Belgium,436,99.208329351265
229,"Technion-Israel Institute of Technology (IIT)",Israel,299,98.368423501794
230,"University of Virginia (UVA)","United States of America (USA)",551,97.522859486556
231,"University of California, Riverside (UCR)","United States of America (USA)",319,97.061008403967
232,"U.S. Department of Veterans Affairs","United States of America (USA)",811,96.640757961525
233,"Hebei University (HBU)",China,264,95.880673498328
234,"Oak Ridge National Laboratory (ORNL)","United States of America (USA)",385,94.710471341361
235,"National Research Council (CNR)",Italy,552,94.272777374828
236,"University of Bern (UniBE)",Switzerland,460,93.55518419501
237,"Hainan University",China,347,93.148144362491
238,"University of Vienna",Austria,374,93.062894696284
239,"Inner Mongolia University",China,241,92.70845822612
240,"Nanjing Medical University (NJMU)",China,349,92.421335450682
241,"Barcelona Institute of Science and Technology (BIST)",Spain,353,92.235162022713
242,"Ningbo University (NBU)",China,278,91.780993413675
243,"State University of New York at Stony Brook (SUNY Stony Brook)","United States of America (USA)",546,91.456458760615
244,"The University of Texas MD Anderson Cancer Center","United States of America (USA)",472,91.401439608291
245,"Beijing University of Technology (BJUT)",China,219,91.359656698137
246,"University of Tübingen (Uni Tübingen)",Germany,448,91.258589238486
247,"Nantong University (NTU)",China,196,91.230595845411
248,"University of Colorado Anschutz Medical Campus (CU Anschutz)","United States of America (USA)",414,91.090961851482
249,"University of Glasgow","United Kingdom (UK)",517,91.023442766178
250,"Delft University of Technology (TU Delft)",Netherlands,276,90.882012481358
251,"Pacific Northwest National Laboratory (PNNL)","United States of America (USA)",279,90.793989774223
252,"Paris Cité University",France,1219,89.94656953827
253,"Henan Normal University",China,444,88.980233841148
254,"University of Rochester (UR)","United States of America (USA)",357,88.731984328202
255,"Arizona State University (ASU)","United States of America (USA)",389,88.684634441223
256,"Anhui Normal University (AHNU)",China,182,87.770832566556
257,"Hefei University of Technology (HFUT)",China,199,87.302028406535
258,"Nanjing University of Aeronautics and Astronautics (NUAA)",China,203,86.915725929435
259,"University of Göttingen",Germany,411,86.831895510898
260,"Brookhaven National Laboratory (BNL)","United States of America (USA)",441,86.602539761783
261,"North Carolina State University (NCSU)","United States of America (USA)",300,86.251734983171
262,"Northwest A&F University (NWAFU)",China,161,86.201739101971
263,"Stockholm University",Sweden,549,85.919075971285
264,"Australian National University (ANU)",Australia,360,85.475308341578
265,"Université PSL",France,968,85.232326895406
266,"UK Research and Innovation (UKRI)","United Kingdom (UK)",802,85.081020126919
267,"Council of Scientific and Industrial Research (CSIR)",India,212,84.153375248532
268,"Zhejiang Normal University (ZJNU)",China,203,84.072595918131
269,"Radboud University Nijmegen (RU)",Netherlands,560,83.663717592401
270,"Ulsan National Institute of Science and Technology (UNIST)","South Korea",231,83.547118889753
271,"Humboldt University of Berlin (HU Berlin)",Germany,754,83.083163420912
272,"Colorado State University","United States of America (USA)",319,81.983888030421
273,"Hunan Normal University (HUNNU)",China,234,81.681171936027
274,"University of Oslo (UiO)",Norway,421,81.499980121103
275,"University of Barcelona (UB)",Spain,601,80.968193090706
276,"University of Helsinki",Finland,556,80.425371540665
277,"The French Alternative Energies and Atomic Energy Commission (CEA)",France,1018,80.12287748043
278,"Goethe University Frankfurt (GU)",Germany,454,80.052209218496
279,"University of Jinan (UJN)",China,207,78.924687245171
280,"China University of Geosciences, Beijing (CUGB)",China,266,78.685559174035
281,"Zhejiang Sci-Tech University (ZSTU)",China,186,78.638865499968
282,"University of Montreal (UdeM)",Canada,467,78.492784573776
283,"Changzhou University (CZU)",China,195,78.488692087668
284,"Capital Medical University",China,383,78.373097336347
285,"Ministry of Natural Resources (MNR)",China,518,78.284304584501
286,"Institute for Basic Science (IBS)","South Korea",337,78.245887570919
287,"Autonomous University of Madrid (UAM)",Spain,546,78.051966259868
288,"China Academy of Engineering Physics (CAEP)",China,347,77.601790219187
289,"Fujian Normal University (FNU)",China,230,77.297777275746
290,"The University of Georgia (UGA)","United States of America (USA)",277,77.277722863231
291,"Technical University of Denmark (DTU)",Denmark,330,77.126833772496
292,"University of Liverpool","United Kingdom (UK)",491,76.548452998801
293,"Scripps Research","United States of America (USA)",196,76.295164126872
294,"U.S. Department of Defense (DoD)","United States of America (USA)",343,76.232452876754
295,"University of Padova (UNIPD)",Italy,458,76.031879843313
296,"Xiangtan University (XTU)",China,167,76.021170184734
297,"Carnegie Mellon University (CMU)","United States of America (USA)",329,75.897777543023
298,"University of Cologne (UoC)",Germany,363,75.691978310429
299,"University of Lausanne (UNIL)",Switzerland,310,75.535023406257
300,"Chongqing Medical University (CQMU)",China,198,75.522051999041
301,"Polish Academy of Sciences (PAS)",Poland,383,75.457313236306
302,"Central China Normal University (CCNU)",China,317,75.214605770638
303,"Nanjing University of Information Science and Technology (NUIST)",China,289,75.039504935343
304,"Indian Institute of Technology Bombay (IIT Bombay)",India,154,74.999238213065
305,"University of Massachusetts Amherst (UMass Amherst)","United States of America (USA)",293,74.683886233516
306,"Academia Sinica",Taiwan,373,74.476393173306
307,"Guangzhou University (GU)",China,253,74.415852502808
308,"Homi Bhabha National Institute (HBNI)",India,252,74.373173789764
309,"University of Leeds","United Kingdom (UK)",339,73.856300006457
310,"Durham University","United Kingdom (UK)",294,73.796879851488
311,"Wenzhou University (WZU)",China,172,73.48925828586
312,"Los Alamos National Laboratory (LANL)","United States of America (USA)",402,73.447122046688
313,"Hanyang University (HYU)","South Korea",258,73.368454751335
314,"Virginia Polytechnic Institute and State University (Virginia Tech)","United States of America (USA)",227,73.225844716438
315,"University of Ottawa (uOttawa)",Canada,291,72.337820414569
316,"University of Cincinnati (UC)","United States of America (USA)",331,72.060544511953
317,"National Tsing Hua University (NTHU)",Taiwan,238,71.997159763526
318,"University of Birmingham","United Kingdom (UK)",445,71.873208149409
319,"National Oceanic and Atmospheric Administration (NOAA)","United States of America (USA)",290,71.570907410198
320,"Eindhoven University of Technology (TU/e)",Netherlands,176,71.551328653146
321,"Tata Institute of Fundamental Research (TIFR)",India,184,71.523228253519
322,"Shanxi University (SXU)",China,290,70.866351374648
323,"University of Lyon",France,587,70.814514013891
324,"China Ministry of Ecology and Environment (MEE)",China,322,70.492148208051
325,"Ruhr University Bochum (RUB)",Germany,376,70.093054778634
326,"Indian Institute of Technology Madras (IIT Madras)",India,210,70.076260184121
327,"Dartmouth College","United States of America (USA)",225,69.960883644404
328,"University of Notre Dame (ND)","United States of America (USA)",267,69.864433643886
329,"VU Amsterdam",Netherlands,699,69.810563842084
330,"Xidian University",China,170,69.797662213472
331,"The University of Nottingham (UoN)","United Kingdom (UK)",301,69.454710353686
332,"McMaster University",Canada,295,69.392856230775
333,"Indian Institute of Technology Guwahati (IIT Guwahati)",India,94,68.42260836867
334,"The University of Adelaide (Adelaide Uni)",Australia,394,68.355727123525
335,"Indian Institute of Science Education and Research Kolkata (IISER Kolkata)",India,109,68.130032005032
336,"University of Waterloo",Canada,234,67.800705384613
337,"Oregon Health and Science University (OHSU)","United States of America (USA)",264,67.538967690874
338,Roche,Switzerland,204,66.718947902578
339,"The University of Iowa (UI)","United States of America (USA)",359,66.620171958888
340,"Huazhong Agricultural University (HZAU)",China,173,66.453322882522
341,"University of Southampton (Soton)","United Kingdom (UK)",384,66.085841644393
342,"South China Agricultural University (SCAU)",China,216,66.042650890565
343,"Nanjing Agricultural University (NAU)",China,186,66.031284984648
344,"Kunming University of Science and Technology (KUST)",China,161,65.968292270838
345,"Iowa State University","United States of America (USA)",371,65.919851182685
346,"The University of Alabama at Birmingham (UAB)","United States of America (USA)",315,65.633616759433
347,"National Institute of Standards and Technology (NIST)","United States of America (USA)",255,65.496898472578
348,"University of Connecticut (UConn)","United States of America (USA)",234,65.47206069102
349,"Nanjing Forestry University (NFU)",China,236,65.164018051808
350,"Indian Institute of Technology Kanpur (IIT Kanpur)",India,130,64.754598638492
351,"Hangzhou Normal University (HZNU)",China,251,64.714987718141
352,"Hubei University (HUBU)",China,164,64.06961172773
353,"Queen Mary University of London (QMUL)","United Kingdom (UK)",410,63.708734488312
354,"University of Calgary (U of C)",Canada,283,63.63484386772
355,"University of São Paulo (USP)",Brazil,376,63.515646918051
356,"Sapienza University of Rome",Italy,398,63.257686481848
357,"Northeastern University (NU)","United States of America (USA)",287,62.884889229732
358,"Erasmus University Rotterdam (EUR)",Netherlands,326,62.751124274797
359,"University of Gothenburg (GU)",Sweden,365,62.424445392795
360,"Ben-Gurion University of the Negev (BGU)",Israel,162,61.736888351861
361,"Charles University (CU)","Czech Republic",395,61.670740845224
362,"Yanshan University (YSU)",China,141,61.287710390427
363,"University of the Basque Country (UPV/EHU)",Spain,355,61.091444368784
364,"Southwest Jiaotong University (SWJTU)",China,153,60.864930686343
365,"University of Exeter","United Kingdom (UK)",285,60.845907741788
366,"University of California, Santa Cruz (UCSC)","United States of America (USA)",439,60.51021170366
367,"Assistance Publique-Hôpitaux de Paris (AP-HP)",France,601,60.352973405003
368,"China University of Petroleum, East China (UPC)",China,337,59.877263868246
369,"St. Jude Children's Research Hospital (St. Jude)","United States of America (USA)",186,59.788639842531
370,"Indian Institute of Science Education and Research Pune (IISER Pune)",India,140,59.614298416357
371,"University of Illinois at Chicago (UIC)","United States of America (USA)",270,59.585153195649
372,"University of Warsaw (UW)",Poland,228,59.519209050628
373,"European Organization for Nuclear Research (CERN)",Switzerland,349,58.922804149506
374,"Hohai University (HHU)",China,162,58.43453356872
375,"Case Western Reserve University (CWRU)","United States of America (USA)",275,57.900620157624
376,"Grenoble Alpes University (UGA)",France,613,57.853758406505
377,"U.S. Geological Survey (USGS)","United States of America (USA)",176,57.849147051285
378,"Florida State University (FSU)","United States of America (USA)",352,57.459934249833
379,"University of Tsukuba",Japan,281,57.445348148755
380,"Korea Institute of Science and Technology (KIST)","South Korea",257,57.053246282512
381,"Paul Scherrer Institute (PSI)",Switzerland,286,56.859164548541
382,"The University of Warwick (Warwick)","United Kingdom (UK)",344,56.519830700657
383,"Wenzhou Medical University (WMU)",China,209,56.395095522878
384,"Indian Association for the Cultivation of Science (IACS)",India,116,56.129263501001
385,"Chalmers University of Technology (Chalmers)",Sweden,207,55.99697799073
386,"University of Hawai'i at Manoa (UH Mānoa)","United States of America (USA)",459,55.777309513159
387,"The Rockefeller University","United States of America (USA)",222,55.731556527271
388,"Shaanxi University of Science and Technology (SUST)",China,117,55.727789315947
389,"University at Buffalo, The State University of New York (SUNY UB)","United States of America (USA)",184,55.698650669065
390,"Taiyuan University of Technology (TYUT)",China,138,55.563662486041
391,"University of Strasbourg",France,464,55.057698564327
392,"University of Toulouse",France,526,54.928187312898
393,"University of Maryland, Baltimore (UMB)","United States of America (USA)",206,54.815463419198
394,"Fred Hutchinson Cancer Center","United States of America (USA)",356,54.291498782988
395,"Vienna University of Technology (TU Wien)",Austria,214,54.19996662658
396,"University of Southern Denmark (SDU)",Denmark,274,54.069553810463
397,"University of York","United Kingdom (UK)",201,53.849690422935
398,"Western University (UWO)",Canada,208,53.660513942235
399,"National Yang Ming Chiao Tung University (NYCU)",Taiwan,207,53.573623108606
400,"The University of Sheffield","United Kingdom (UK)",294,53.393255961301
401,"University of Regensburg (UR)",Germany,184,53.361593297185
402,"Xinjiang University (XJU)",China,127,53.295676817736
403,"Technische Universität Berlin (TU Berlin)",Germany,231,53.223713209259
404,"Heinrich Heine University Düsseldorf (HHU)",Germany,275,53.119955563861
405,"University of Montpellier",France,478,53.034894192512
406,"Northwest Normal University (NWNU)",China,80,53.009307359307
407,"Leipzig University",Germany,320,52.994110732003
408,"Jiangsu University of Science and Technology (JUST)",China,92,52.978164322155
409,"Complutense University of Madrid (UCM)",Spain,346,52.940796627239
410,"The University of Tennessee at Knoxville (UTK)","United States of America (USA)",292,52.721611664556
411,"National University of Defense Technology (NUDT)",China,149,52.546997751597
412,"Guangxi Normal University (GXNU)",China,151,52.226161802965
413,"National Institute of Advanced Industrial Science and Technology (AIST)",Japan,169,52.069622518733
414,"Indian Institute of Technology Delhi (IIT Delhi)",India,90,51.962722908232
415,"University of Massachusetts Chan Medical School (UMass Chan Medical School)","United States of America (USA)",243,51.747137312231
416,"Hebei University of Technology (HEBUT)",China,139,51.737028173638
417,"University of Delaware (UD)","United States of America (USA)",190,51.610173464154
418,"Lawrence Livermore National Laboratory (LLNL)","United States of America (USA)",187,51.491978913899
419,AstraZeneca,"United Kingdom (UK)",172,51.343463195188
420,"Jiangxi Normal University (JXNU)",China,141,51.080135922953
421,"European Molecular Biology Laboratory (EMBL)",Germany,345,51.004925407688
422,"University of Shanghai for Science and Technology (USST)",China,186,50.927810675404
423,"University of Valencia (UV)",Spain,349,50.68919157884
424,"Academy of Scientific and Innovative Research (AcSIR)",India,171,50.676100223449
425,"Cleveland Clinic","United States of America (USA)",292,50.460948698089
426,"Tianjin Medical University (TMU)",China,186,50.422344845575
427,"Philipps University of Marburg (Uni Marburg)",Germany,211,50.408762754555
428,"KTH Royal Institute of Technology",Sweden,461,50.101421016444
429,"U.S. Department of Health and Human Services (HHS)","United States of America (USA)",144,49.87422224163
430,"University of Macau (UM)",China,268,49.78271441718
431,"The University of Auckland","New Zealand",254,49.485477777744
432,"Children's Hospital of Philadelphia (CHOP)","United States of America (USA)",274,49.349048934356
433,"The Francis Crick Institute","United Kingdom (UK)",169,49.27471328462
434,"Wageningen University & Research (WUR)",Netherlands,205,49.090430471425
435,"University of Bayreuth (UBT)",Germany,154,48.859250610714
436,"The University of Texas Health Science Center at Houston (UTHealth)","United States of America (USA)",255,48.590073537555
437,"Aalto University",Finland,244,48.46735709389
438,"Southwest University of Science and Technology (SWUST)",China,102,48.423810571237
